state,state_abbr,year,month,Anthropic_interest,ChatGPT_interest,Claude AI_interest,Claude Code_interest,Claude Opus_interest,Claude Sonnet_interest,DeepSeek_interest,Gemini Pro_interest,GitHub Copilot_interest,Google DeepMind_interest,Google Gemini_interest,GPT-4_interest,GPT-5_interest,Grok AI_interest,Llama AI_interest,Meta AI_interest,Microsoft Copilot_interest,Mistral AI_interest,OpenAI_interest,Perplexity AI_interest,ai_interest_index,ui_first_payments_total,ui_pct_within_21_days,ui_avg_days_to_first_payment_approx,unemployment_rate
Alabama,AL,2020,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8680.0,96.69354838709675,8.623847926267281,
Alabama,AL,2020,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4565.0,98.20372398685652,8.128696604600218,
Alabama,AL,2020,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12614.0,99.7383859204059,7.333003012525765,
Alabama,AL,2020,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346674.0,94.94222237606512,9.604445386732204,
Alabama,AL,2020,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143323.0,81.96660689491569,12.265163302470643,
Alabama,AL,2020,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61340.0,89.7114444082165,11.455714052820346,
Alabama,AL,2020,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48038.0,93.7611890586619,9.83132103751197,
Alabama,AL,2020,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21008.0,89.8038842345773,11.1178360624524,
Alabama,AL,2020,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12563.0,89.5964339727772,11.60208548913476,
Alabama,AL,2020,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12496.0,91.89340588988476,10.251680537772089,
Alabama,AL,2020,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7344.0,88.24891067538127,11.088303376906318,
Alabama,AL,2020,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8369.0,87.13107898195722,11.399689329669016,
