state,state_abbr,year,Anthropic_interest,ChatGPT_interest,Claude AI_interest,Claude Code_interest,Claude Opus_interest,Claude Sonnet_interest,DeepSeek_interest,Gemini Pro_interest,GitHub Copilot_interest,Google DeepMind_interest,Google Gemini_interest,GPT-4_interest,GPT-5_interest,Grok AI_interest,Llama AI_interest,Meta AI_interest,Microsoft Copilot_interest,Mistral AI_interest,OpenAI_interest,Perplexity AI_interest,ai_interest_index,small_claims_filings,small_claims_dispositions,parking_hearing_records,parking_appeal_records,ui_first_payments_total,ui_pct_within_21_days,ui_avg_days_to_first_payment_approx,unemployment_rate_avg,data_coverage_notes
Alabama,AL,2020,51,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,25,0,8.55,,,,,687014,91.3404967002128,10.409081910994535,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Alabama,AL,2021,0,0,0,100,0,0,0,0,0,0,83,0,0,0,0,0,0,0,28,0,10.55,,,,,111878,88.52768193925526,11.279518761508072,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Alabama,AL,2022,19,30,0,0,0,0,0,0,16,0,52,0,0,0,0,25,0,0,26,0,8.4,,,,,48576,86.82065217391305,10.826961874176549,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Alabama,AL,2023,9,40,30,0,0,0,0,38,20,0,24,21,0,29,16,22,23,0,22,27,16.05,,,,,49255,89.31276012587554,9.84397523094102,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Alabama,AL,2024,9,48,23,21,0,20,0,23,23,0,32,20,0,51,13,64,38,15,17,22,21.95,,,,,63545,86.32465182154378,10.98040758517586,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Alabama,AL,2025,13,72,26,17,23,22,23,28,24,20,63,43,28,61,27,48,54,14,26,32,33.2,,,,,61348,87.8480146052031,10.576897372367478,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Alabama,AL,2026,12,71,36,19,12,13,14,12,11,6,57,5,6,25,9,10,19,7,6,17,18.35,,,,,36023,90.4672015101463,10.167656774838298,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Alaska,AK,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,129400,80.8129829984544,12.167357032457495,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Alaska,AK,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,40602,93.23432343234325,9.557201615683956,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Alaska,AK,2022,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,4.0,,,,,20048,96.70790103750998,8.412310454908221,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Alaska,AK,2023,0,42,41,0,0,0,0,0,0,0,0,36,0,0,0,0,39,0,31,34,11.15,,,,,18318,96.140408341522,8.577737744295229,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Alaska,AK,2024,15,45,24,0,0,0,0,0,19,0,43,0,0,89,0,71,39,0,24,21,19.5,,,,,17475,97.173104434907,8.323690987124463,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Alaska,AK,2025,19,57,30,22,0,23,28,32,25,0,50,0,29,78,33,49,49,0,29,28,29.05,,,,,17646,95.80641505156976,8.679360761645698,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Alaska,AK,2026,12,53,32,19,14,12,15,11,9,5,35,0,6,36,11,11,17,0,4,11,15.65,,,,,7585,96.21621621621622,8.5022412656559,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Arizona,AZ,2020,55,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,34,0,8.6,,,,,660147,86.01872007295344,12.303361978468432,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Arizona,AZ,2021,53,0,0,0,0,0,0,54,27,0,87,0,0,0,0,0,0,0,40,0,13.05,,,,,131984,87.55152139653292,10.668463601648686,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Arizona,AZ,2022,25,47,0,41,0,0,0,52,36,29,47,0,0,0,0,32,0,0,45,0,17.7,,,,,78106,87.31723555168617,10.841023736972833,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Arizona,AZ,2023,18,63,36,0,0,0,0,80,34,22,45,36,0,44,32,35,35,12,43,48,29.15,,,,,98459,82.30938766390071,11.955245330543676,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Arizona,AZ,2024,18,66,32,28,33,43,35,44,42,11,47,36,13,84,29,51,43,18,41,41,37.75,,,,,106780,80.0711743772242,13.04064899793969,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Arizona,AZ,2025,20,81,39,27,36,34,43,44,42,23,72,65,32,75,38,59,50,27,39,42,44.4,,,,,113423,86.01959038290295,11.808301667210356,,"trends,no-court-stats,no-parking,unemployment,no-controls"
