event_time,coef,std_err,ci_low,ci_high,p_value
-6,-773.9058843620871,418.3978793876466,-1593.9506591698078,46.13889044563359,0.0643584112306793
-5,-528.6310821901651,346.57829575345187,-1207.9120596902019,150.64989530987168,0.1271877351525796
-4,-401.41427600365563,348.4316662191209,-1084.327792866414,281.4992408591028,0.24929631178577838
-3,-772.3392737664916,441.89532466107113,-1638.4381950388254,93.75964750584217,0.08050077218830297
-2,-466.30538644179853,381.3269530388031,-1213.6924807322491,281.08170784865206,0.22138663193393593
-1,0.0,0.0,0.0,0.0,
0,-346.635139308728,399.73443186156794,-1130.1002291379814,436.8299505205254,0.38585239047510844
1,-540.4872581651376,391.3209813198354,-1307.4622879468864,226.4877716166111,0.16722162329300805
2,-273.9887955516528,403.0980874361174,-1064.0465291634205,516.068938060115,0.4966896825845155
3,-202.9148741821935,386.99510284370285,-961.4113379492253,555.5815895848384,0.6000459222529986
4,-304.37089289012044,447.916385051209,-1182.2708756758652,573.5290898956242,0.49680454966302
5,-434.78983930693107,535.6371657212277,-1484.6193929016497,615.0397142877875,0.41694970197900083
6,-201.14575018072713,523.2161340327706,-1226.6305290152393,824.3390286537849,0.7006515940584859
