event_time,coef,std_err,ci_low,ci_high,p_value
-6,-1130.9740030593507,534.750312047679,-2179.0653553943566,-82.88265072434456,0.03443359844196338
-5,-819.6764114754352,497.0241388988172,-1793.8258231641503,154.47300021327987,0.09911317790471269
-4,-510.76014256868837,451.56996364529743,-1395.821007813533,374.30072267615617,0.2580229236359435
-3,-1032.414244502683,551.3926230411013,-2113.1239270043116,48.29543799894577,0.06115462039959419
-2,-608.7675536854258,513.124627735956,-1614.473343628422,396.93823625757045,0.23546706772555226
-1,0.0,0.0,0.0,0.0,
0,-410.29074582541864,524.8148481251462,-1438.9089467025638,618.3274550517264,0.4343427636929541
1,-604.9950589417076,439.419240830427,-1466.240945083277,256.25082719986165,0.16857222712002073
2,-349.2530540397837,496.929570587713,-1323.2171152446558,624.7110071650883,0.4821666608128864
3,-337.78881161422737,478.4237596725512,-1275.4821499206741,599.9045266922194,0.48016001266989483
4,-542.4072051363578,532.0028594042337,-1585.1136492409819,500.2992389682663,0.3079386376152966
5,-693.1577038870299,599.2191283038914,-1867.605614210143,481.29020643608294,0.2473670285992029
6,-531.0924226259617,634.0095551104656,-1773.7283164967369,711.5434712448134,0.4022146148456345
