event_time,coef,std_err,ci_low,ci_high,p_value
-6,-571.175440145191,907.0751818459007,-2349.010127833277,1206.6592475428947,0.5288979539285423
-5,-116.19130314858779,349.2613284961164,-800.7309281935889,568.3483218964132,0.7393779136813663
-4,-523.8075325404113,337.686370865277,-1185.6606575063902,138.0455924255674,0.12086196785114613
-3,-490.54481530965563,323.75739521291587,-1125.0976496554713,144.00801903616002,0.12973145184675297
-2,-316.22452760324427,303.78743692680007,-911.6369629355057,279.1879077290172,0.29790334532362117
-1,0.0,0.0,0.0,0.0,
0,232.24748552582113,298.99929467376126,-353.7803634376297,818.275334489272,0.4373067087494572
1,-104.62526186719333,252.57579871816793,-599.6647307212404,390.41420698685374,0.678703386270481
2,-355.3760033532762,308.6072827547596,-960.2351629193738,249.48315621282148,0.24950698775936986
3,-176.42925753165696,216.54504121391406,-600.8497393416701,247.99122427835624,0.4152175808245562
4,659.4743428640355,288.864183740708,93.31094630868722,1225.6377394193837,0.022430896231454684
5,431.43991905268854,408.01572416726987,-368.2562054411893,1231.1360435465663,0.2903244960306882
