event_time,coef,std_err,ci_low,ci_high,p_value
-6,1344.832729164336,322.1633673883835,713.4041319449584,1976.2613263837134,2.98796986364797e-05
-5,-90.57287626944964,245.91640973620068,-572.560182559798,391.4144300208988,0.7126439056491226
-4,-399.2508074592313,274.72857457242065,-937.7089191452022,139.20730422673967,0.14615283232356957
-3,-119.8541916528045,215.00765129085727,-541.2614445834316,301.5530612778226,0.5772258051409066
-2,-99.91839343463383,231.638891107856,-553.922277424827,354.0854905555593,0.6662108938102833
-1,0.0,0.0,0.0,0.0,
0,-462.8782005792078,201.11636091058003,-857.0590246657039,-68.69737649271184,0.02136088817707414
1,-85.95758145413913,194.50592558199529,-467.18219037447784,295.2670274661996,0.6585414318235795
2,-44.689643896515804,205.73925645373848,-447.9311767518931,358.55188895886147,0.8280408283682807
3,49.23507560134192,184.22232386135246,-311.8340443151827,410.30419551786656,0.7892697456928679
4,421.4769208312623,229.62307973942907,-28.576045477187677,871.5298871397123,0.06642921644910216
5,-228.2002159492646,281.86840424285407,-780.6521366450355,324.25170474650633,0.41817101398085554
