state,year,month,case_type,filings,dispositions
Texas,2020,1,Debt Claim,28068,31470
Texas,2020,1,Landlord/Tenant,26311,25121
Texas,2020,1,Small Claims,6443,5698
Texas,2020,2,Debt Claim,23180,27345
Texas,2020,2,Landlord/Tenant,23537,22136
Texas,2020,2,Small Claims,5659,5151
Texas,2020,3,Debt Claim,26283,23480
Texas,2020,3,Landlord/Tenant,11978,14287
Texas,2020,3,Small Claims,4734,4076
Texas,2020,4,Debt Claim,9761,10475
Texas,2020,4,Landlord/Tenant,1521,1540
Texas,2020,4,Small Claims,2214,1498
Texas,2020,5,Debt Claim,15016,11210
Texas,2020,5,Landlord/Tenant,4641,2933
Texas,2020,5,Small Claims,2873,2258
Texas,2020,6,Debt Claim,21403,18795
Texas,2020,6,Landlord/Tenant,10211,14584
Texas,2020,6,Small Claims,4521,3175
Texas,2020,7,Debt Claim,24761,19251
Texas,2020,7,Landlord/Tenant,9107,9364
Texas,2020,7,Small Claims,4247,4302
Texas,2020,8,Debt Claim,19729,22568
Texas,2020,8,Landlord/Tenant,10636,8263
Texas,2020,8,Small Claims,4240,4262
Texas,2020,9,Debt Claim,22584,25162
Texas,2020,9,Landlord/Tenant,10182,11920
Texas,2020,9,Small Claims,4888,5103
Texas,2020,10,Debt Claim,20144,24288
Texas,2020,10,Landlord/Tenant,9953,8749
Texas,2020,10,Small Claims,5155,4517
Texas,2020,11,Debt Claim,21974,18624
Texas,2020,11,Landlord/Tenant,10743,7870
Texas,2020,11,Small Claims,4073,4132
Texas,2020,12,Debt Claim,30150,18367
Texas,2020,12,Landlord/Tenant,11996,9464
Texas,2020,12,Small Claims,4147,4195
Texas,2021,1,Debt Claim,27802,22730
Texas,2021,1,Landlord/Tenant,11654,8895
Texas,2021,1,Small Claims,4345,3851
Texas,2021,2,Debt Claim,24608,16861
Texas,2021,2,Landlord/Tenant,7858,6991
Texas,2021,2,Small Claims,3377,3222
Texas,2021,3,Debt Claim,35071,24226
Texas,2021,3,Landlord/Tenant,12207,11541
Texas,2021,3,Small Claims,5342,5037
