state,year,month,filings,dispositions
Washington,2020,1,869,799
Washington,2020,2,835,791
Washington,2020,3,539,465
Washington,2020,4,177,152
Washington,2020,5,322,115
Washington,2020,6,521,303
Washington,2020,7,622,381
Washington,2020,8,606,438
Washington,2020,9,663,449
Washington,2020,10,495,429
Washington,2020,11,411,459
Washington,2020,12,403,510
Washington,2021,1,420,338
Washington,2021,2,442,329
Washington,2021,3,480,475
Washington,2021,4,473,389
Washington,2021,5,432,400
Washington,2021,6,487,416
Washington,2021,7,503,363
Washington,2021,8,485,427
Washington,2021,9,447,353
Washington,2021,10,533,445
Washington,2021,11,430,411
Washington,2021,12,435,393
Washington,2022,1,454,376
Washington,2022,2,442,380
Washington,2022,3,603,491
Washington,2022,4,482,358
Washington,2022,5,539,415
Washington,2022,6,494,429
Washington,2022,7,494,396
Washington,2022,8,669,447
Washington,2022,9,543,422
Washington,2022,10,622,421
Washington,2022,11,516,390
Washington,2022,12,490,415
Washington,2023,1,556,401
Washington,2023,2,521,389
Washington,2023,3,650,548
Washington,2023,4,523,401
Washington,2023,5,548,481
Washington,2023,6,633,489
Washington,2023,7,595,430
Washington,2023,8,709,483
Washington,2023,9,642,427
Washington,2023,10,607,479
Washington,2023,11,614,442
Washington,2023,12,522,435
Washington,2024,1,624,564
Washington,2024,2,579,438
Washington,2024,3,606,512
Washington,2024,4,582,540
Washington,2024,5,529,479
Washington,2024,6,556,401
Washington,2024,7,672,490
Washington,2024,8,627,500
Washington,2024,9,543,472
Washington,2024,10,634,637
Washington,2024,11,459,391
Washington,2024,12,479,434
Washington,2025,1,559,406
Washington,2025,2,474,387
Washington,2025,3,634,460
Washington,2025,4,557,467
Washington,2025,5,640,450
Washington,2025,6,548,416
Washington,2025,7,592,459
Washington,2025,8,576,477
Washington,2025,9,502,495
Washington,2025,10,568,464
Washington,2025,11,435,308
Washington,2025,12,537,421
Washington,2026,1,600,456
Washington,2026,2,476,403
Washington,2026,3,571,486
Washington,2026,4,573,460
Washington,2026,5,408,349
Washington,2026,6,497,333
Washington,2026,7,469,366
