violation_status,n,year,state,source_name
HEARING HELD-GUILTY,1097927,2024,New York,NYC Open Parking and Camera Violations
HEARING HELD-GUILTY REDUCTION,711546,2024,New York,NYC Open Parking and Camera Violations
HEARING HELD-NOT GUILTY,485539,2024,New York,NYC Open Parking and Camera Violations
APPEAL AFFIRMED,54431,2024,New York,NYC Open Parking and Camera Violations
HEARING ADJOURNMENT,38304,2024,New York,NYC Open Parking and Camera Violations
APPEAL REVERSED,5468,2024,New York,NYC Open Parking and Camera Violations
HEARING PENDING,4924,2024,New York,NYC Open Parking and Camera Violations
APPEAL ABANDONED,1022,2024,New York,NYC Open Parking and Camera Violations
HEARING HELD-REINSTATEMENT,437,2024,New York,NYC Open Parking and Camera Violations
APPEAL MODIFIED,4,2024,New York,NYC Open Parking and Camera Violations
