violation_status,n,state,source_name,year,month
HEARING HELD-GUILTY,105246,New York,NYC Open Parking and Camera Violations,2020,12
HEARING HELD-GUILTY REDUCTION,71653,New York,NYC Open Parking and Camera Violations,2020,12
HEARING HELD-NOT GUILTY,51516,New York,NYC Open Parking and Camera Violations,2020,12
APPEAL AFFIRMED,4027,New York,NYC Open Parking and Camera Violations,2020,12
HEARING ADJOURNMENT,3084,New York,NYC Open Parking and Camera Violations,2020,12
APPEAL REVERSED,474,New York,NYC Open Parking and Camera Violations,2020,12
APPEAL ABANDONED,91,New York,NYC Open Parking and Camera Violations,2020,12
HEARING PENDING,90,New York,NYC Open Parking and Camera Violations,2020,12
HEARING HELD-REINSTATEMENT,51,New York,NYC Open Parking and Camera Violations,2020,12
APPEAL MODIFIED,1,New York,NYC Open Parking and Camera Violations,2020,12
