geoName,Claude Code
Alabama,0
Alaska,0
Arizona,41
Arkansas,0
California,21
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,0
Florida,23
Georgia,0
Hawaii,0
Idaho,0
Illinois,0
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,100
Maine,0
Maryland,33
Massachusetts,0
Michigan,0
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,26
New Mexico,0
New York,15
North Carolina,0
North Dakota,0
Ohio,0
Oklahoma,0
Oregon,0
Pennsylvania,25
Rhode Island,0
South Carolina,42
South Dakota,0
Tennessee,44
Texas,23
Utah,0
Vermont,0
Virginia,0
Washington,36
West Virginia,0
Wisconsin,0
Wyoming,0
