geoName,GitHub Copilot
Alabama,16
Alaska,0
Arizona,36
Arkansas,27
California,71
Colorado,51
Connecticut,35
Delaware,0
District of Columbia,57
Florida,29
Georgia,33
Hawaii,36
Idaho,44
Illinois,39
Indiana,30
Iowa,38
Kansas,31
Kentucky,16
Louisiana,14
Maine,26
Maryland,42
Massachusetts,76
Michigan,30
Minnesota,34
Mississippi,22
Missouri,38
Montana,33
Nebraska,16
Nevada,30
New Hampshire,41
New Jersey,44
New Mexico,0
New York,47
North Carolina,33
North Dakota,0
Ohio,30
Oklahoma,25
Oregon,62
Pennsylvania,32
Rhode Island,33
South Carolina,16
South Dakota,0
Tennessee,32
Texas,40
Utah,77
Vermont,0
Virginia,51
Washington,100
West Virginia,0
Wisconsin,30
Wyoming,0
