geoName,Meta AI
Alabama,25
Alaska,0
Arizona,32
Arkansas,0
California,98
Colorado,41
Connecticut,36
Delaware,0
District of Columbia,95
Florida,26
Georgia,39
Hawaii,0
Idaho,0
Illinois,40
Indiana,38
Iowa,0
Kansas,45
Kentucky,0
Louisiana,34
Maine,0
Maryland,51
Massachusetts,84
Michigan,27
Minnesota,24
Mississippi,0
Missouri,36
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,59
New Mexico,0
New York,64
North Carolina,33
North Dakota,0
Ohio,21
Oklahoma,28
Oregon,36
Pennsylvania,48
Rhode Island,0
South Carolina,21
South Dakota,0
Tennessee,23
Texas,35
Utah,49
Vermont,0
Virginia,43
Washington,100
West Virginia,0
Wisconsin,28
Wyoming,0
