geoName,ChatGPT
Alabama,40
Alaska,42
Arizona,63
Arkansas,38
California,100
Colorado,63
Connecticut,70
Delaware,55
District of Columbia,100
Florida,59
Georgia,62
Hawaii,56
Idaho,51
Illinois,61
Indiana,48
Iowa,41
Kansas,48
Kentucky,39
Louisiana,36
Maine,40
Maryland,70
Massachusetts,84
Michigan,53
Minnesota,50
Mississippi,35
Missouri,48
Montana,39
Nebraska,42
Nevada,57
New Hampshire,53
New Jersey,79
New Mexico,41
New York,70
North Carolina,55
North Dakota,43
Ohio,48
Oklahoma,43
Oregon,63
Pennsylvania,56
Rhode Island,59
South Carolina,38
South Dakota,38
Tennessee,42
Texas,61
Utah,73
Vermont,43
Virginia,81
Washington,76
West Virginia,32
Wisconsin,45
Wyoming,33
