geoName,Claude AI
Alabama,30
Alaska,41
Arizona,36
Arkansas,27
California,60
Colorado,46
Connecticut,43
Delaware,34
District of Columbia,100
Florida,37
Georgia,42
Hawaii,41
Idaho,33
Illinois,36
Indiana,37
Iowa,30
Kansas,37
Kentucky,20
Louisiana,22
Maine,35
Maryland,50
Massachusetts,65
Michigan,32
Minnesota,31
Mississippi,16
Missouri,43
Montana,27
Nebraska,33
Nevada,38
New Hampshire,60
New Jersey,54
New Mexico,26
New York,45
North Carolina,36
North Dakota,25
Ohio,33
Oklahoma,25
Oregon,41
Pennsylvania,35
Rhode Island,39
South Carolina,25
South Dakota,0
Tennessee,23
Texas,40
Utah,44
Vermont,38
Virginia,59
Washington,55
West Virginia,19
Wisconsin,32
Wyoming,34
