geoName,OpenAI
Alabama,22
Alaska,31
Arizona,43
Arkansas,25
California,100
Colorado,47
Connecticut,44
Delaware,32
District of Columbia,76
Florida,45
Georgia,42
Hawaii,38
Idaho,35
Illinois,43
Indiana,32
Iowa,25
Kansas,33
Kentucky,22
Louisiana,21
Maine,29
Maryland,49
Massachusetts,68
Michigan,35
Minnesota,38
Mississippi,20
Missouri,32
Montana,29
Nebraska,27
Nevada,51
New Hampshire,37
New Jersey,56
New Mexico,27
New York,55
North Carolina,37
North Dakota,27
Ohio,31
Oklahoma,27
Oregon,59
Pennsylvania,35
Rhode Island,39
South Carolina,23
South Dakota,25
Tennessee,28
Texas,44
Utah,54
Vermont,39
Virginia,64
Washington,97
West Virginia,19
Wisconsin,29
Wyoming,26
