geoName,Gemini Pro
Alabama,23
Alaska,0
Arizona,44
Arkansas,35
California,95
Colorado,51
Connecticut,45
Delaware,0
District of Columbia,100
Florida,38
Georgia,46
Hawaii,42
Idaho,0
Illinois,49
Indiana,33
Iowa,30
Kansas,36
Kentucky,24
Louisiana,26
Maine,75
Maryland,49
Massachusetts,63
Michigan,38
Minnesota,28
Mississippi,0
Missouri,36
Montana,38
Nebraska,0
Nevada,41
New Hampshire,33
New Jersey,60
New Mexico,25
New York,58
North Carolina,40
North Dakota,0
Ohio,33
Oklahoma,35
Oregon,73
Pennsylvania,40
Rhode Island,34
South Carolina,29
South Dakota,0
Tennessee,33
Texas,44
Utah,46
Vermont,0
Virginia,53
Washington,96
West Virginia,28
Wisconsin,36
Wyoming,0
