geoName,Google Gemini
Alabama,32
Alaska,43
Arizona,47
Arkansas,36
California,79
Colorado,60
Connecticut,49
Delaware,43
District of Columbia,100
Florida,49
Georgia,53
Hawaii,57
Idaho,47
Illinois,54
Indiana,38
Iowa,40
Kansas,46
Kentucky,38
Louisiana,36
Maine,41
Maryland,57
Massachusetts,63
Michigan,44
Minnesota,41
Mississippi,32
Missouri,40
Montana,33
Nebraska,40
Nevada,46
New Hampshire,47
New Jersey,63
New Mexico,42
New York,58
North Carolina,49
North Dakota,39
Ohio,45
Oklahoma,39
Oregon,49
Pennsylvania,46
Rhode Island,45
South Carolina,36
South Dakota,33
Tennessee,37
Texas,50
Utah,58
Vermont,45
Virginia,62
Washington,72
West Virginia,36
Wisconsin,41
Wyoming,38
