geoName,GPT-5
Alabama,0
Alaska,0
Arizona,13
Arkansas,0
California,17
Colorado,0
Connecticut,25
Delaware,0
District of Columbia,100
Florida,8
Georgia,11
Hawaii,0
Idaho,0
Illinois,13
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,14
Massachusetts,21
Michigan,10
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,13
New Mexico,0
New York,20
North Carolina,0
North Dakota,0
Ohio,0
Oklahoma,0
Oregon,0
Pennsylvania,0
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,12
Utah,0
Vermont,0
Virginia,12
Washington,25
West Virginia,0
Wisconsin,0
Wyoming,0
