geoName,Grok AI
Alabama,51
Alaska,89
Arizona,84
Arkansas,46
California,82
Colorado,71
Connecticut,59
Delaware,37
District of Columbia,100
Florida,63
Georgia,53
Hawaii,67
Idaho,73
Illinois,56
Indiana,52
Iowa,56
Kansas,51
Kentucky,47
Louisiana,45
Maine,60
Maryland,63
Massachusetts,61
Michigan,57
Minnesota,63
Mississippi,48
Missouri,64
Montana,74
Nebraska,55
Nevada,74
New Hampshire,73
New Jersey,72
New Mexico,43
New York,64
North Carolina,51
North Dakota,65
Ohio,50
Oklahoma,60
Oregon,76
Pennsylvania,57
Rhode Island,50
South Carolina,46
South Dakota,51
Tennessee,55
Texas,65
Utah,83
Vermont,98
Virginia,62
Washington,84
West Virginia,42
Wisconsin,49
Wyoming,0
