geoName,Perplexity AI
Alabama,22
Alaska,21
Arizona,41
Arkansas,26
California,69
Colorado,36
Connecticut,52
Delaware,38
District of Columbia,100
Florida,34
Georgia,45
Hawaii,55
Idaho,26
Illinois,35
Indiana,27
Iowa,23
Kansas,31
Kentucky,21
Louisiana,25
Maine,31
Maryland,45
Massachusetts,58
Michigan,28
Minnesota,27
Mississippi,16
Missouri,31
Montana,24
Nebraska,26
Nevada,36
New Hampshire,35
New Jersey,49
New Mexico,29
New York,58
North Carolina,35
North Dakota,21
Ohio,28
Oklahoma,21
Oregon,38
Pennsylvania,35
Rhode Island,46
South Carolina,24
South Dakota,29
Tennessee,28
Texas,40
Utah,46
Vermont,45
Virginia,43
Washington,53
West Virginia,18
Wisconsin,24
Wyoming,21
