geoName,Claude Sonnet
Alabama,22
Alaska,23
Arizona,34
Arkansas,20
California,68
Colorado,49
Connecticut,32
Delaware,19
District of Columbia,96
Florida,30
Georgia,36
Hawaii,41
Idaho,22
Illinois,38
Indiana,22
Iowa,21
Kansas,27
Kentucky,22
Louisiana,21
Maine,19
Maryland,53
Massachusetts,73
Michigan,27
Minnesota,32
Mississippi,11
Missouri,32
Montana,16
Nebraska,24
Nevada,32
New Hampshire,29
New Jersey,47
New Mexico,38
New York,42
North Carolina,29
North Dakota,15
Ohio,23
Oklahoma,31
Oregon,46
Pennsylvania,29
Rhode Island,25
South Carolina,19
South Dakota,15
Tennessee,28
Texas,35
Utah,54
Vermont,23
Virginia,50
Washington,100
West Virginia,11
Wisconsin,24
Wyoming,28
