geoName,Claude Opus
Alabama,12
Alaska,14
Arizona,17
Arkansas,12
California,38
Colorado,20
Connecticut,16
Delaware,15
District of Columbia,37
Florida,17
Georgia,17
Hawaii,14
Idaho,13
Illinois,19
Indiana,11
Iowa,13
Kansas,34
Kentucky,10
Louisiana,11
Maine,10
Maryland,20
Massachusetts,29
Michigan,13
Minnesota,14
Mississippi,10
Missouri,14
Montana,12
Nebraska,10
Nevada,21
New Hampshire,14
New Jersey,19
New Mexico,15
New York,23
North Carolina,14
North Dakota,11
Ohio,12
Oklahoma,14
Oregon,20
Pennsylvania,14
Rhode Island,14
South Carolina,11
South Dakota,10
Tennessee,15
Texas,19
Utah,26
Vermont,13
Virginia,20
Washington,42
West Virginia,9
Wisconsin,12
Wyoming,100
