geoName,DeepSeek
Alabama,14
Alaska,15
Arizona,24
Arkansas,14
California,92
Colorado,23
Connecticut,18
Delaware,19
District of Columbia,36
Florida,21
Georgia,22
Hawaii,18
Idaho,13
Illinois,23
Indiana,13
Iowa,14
Kansas,37
Kentucky,13
Louisiana,17
Maine,12
Maryland,23
Massachusetts,31
Michigan,17
Minnesota,14
Mississippi,13
Missouri,16
Montana,13
Nebraska,13
Nevada,29
New Hampshire,16
New Jersey,27
New Mexico,20
New York,32
North Carolina,18
North Dakota,12
Ohio,17
Oklahoma,16
Oregon,35
Pennsylvania,19
Rhode Island,16
South Carolina,13
South Dakota,13
Tennessee,15
Texas,21
Utah,35
Vermont,12
Virginia,30
Washington,68
West Virginia,12
Wisconsin,12
Wyoming,100
