geoName,Llama AI
Alabama,9
Alaska,11
Arizona,11
Arkansas,7
California,16
Colorado,11
Connecticut,9
Delaware,11
District of Columbia,15
Florida,11
Georgia,11
Hawaii,6
Idaho,7
Illinois,10
Indiana,6
Iowa,6
Kansas,26
Kentucky,7
Louisiana,9
Maine,5
Maryland,12
Massachusetts,12
Michigan,8
Minnesota,7
Mississippi,7
Missouri,7
Montana,6
Nebraska,7
Nevada,12
New Hampshire,7
New Jersey,11
New Mexico,10
New York,13
North Carolina,9
North Dakota,8
Ohio,7
Oklahoma,9
Oregon,10
Pennsylvania,8
Rhode Island,7
South Carolina,7
South Dakota,4
Tennessee,8
Texas,10
Utah,12
Vermont,6
Virginia,12
Washington,15
West Virginia,6
Wisconsin,7
Wyoming,100
