geoName,Microsoft Copilot
Alabama,19
Alaska,17
Arizona,19
Arkansas,20
California,27
Colorado,29
Connecticut,22
Delaware,21
District of Columbia,40
Florida,26
Georgia,29
Hawaii,18
Idaho,18
Illinois,26
Indiana,17
Iowa,23
Kansas,29
Kentucky,17
Louisiana,18
Maine,15
Maryland,25
Massachusetts,26
Michigan,18
Minnesota,19
Mississippi,17
Missouri,19
Montana,16
Nebraska,20
Nevada,20
New Hampshire,22
New Jersey,22
New Mexico,16
New York,29
North Carolina,23
North Dakota,18
Ohio,20
Oklahoma,19
Oregon,20
Pennsylvania,24
Rhode Island,18
South Carolina,19
South Dakota,22
Tennessee,18
Texas,28
Utah,26
Vermont,15
Virginia,31
Washington,32
West Virginia,16
Wisconsin,18
Wyoming,100
