geoName,Mistral AI
Alabama,7
Alaska,0
Arizona,8
Arkansas,5
California,16
Colorado,10
Connecticut,10
Delaware,6
District of Columbia,18
Florida,9
Georgia,9
Hawaii,7
Idaho,5
Illinois,9
Indiana,5
Iowa,7
Kansas,18
Kentucky,5
Louisiana,6
Maine,4
Maryland,10
Massachusetts,14
Michigan,6
Minnesota,6
Mississippi,7
Missouri,7
Montana,4
Nebraska,5
Nevada,9
New Hampshire,8
New Jersey,11
New Mexico,7
New York,13
North Carolina,8
North Dakota,0
Ohio,6
Oklahoma,6
Oregon,9
Pennsylvania,7
Rhode Island,8
South Carolina,6
South Dakota,4
Tennessee,7
Texas,8
Utah,10
Vermont,9
Virginia,10
Washington,13
West Virginia,5
Wisconsin,6
Wyoming,100
