geoName,GPT-4
Alabama,0
Alaska,0
Arizona,32
Arkansas,0
California,100
Colorado,54
Connecticut,77
Delaware,0
District of Columbia,0
Florida,26
Georgia,54
Hawaii,0
Idaho,0
Illinois,39
Indiana,34
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,84
Massachusetts,85
Michigan,34
Minnesota,54
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,56
New Hampshire,0
New Jersey,37
New Mexico,0
New York,55
North Carolina,38
North Dakota,0
Ohio,29
Oklahoma,0
Oregon,0
Pennsylvania,33
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,30
Texas,36
Utah,0
Vermont,0
Virginia,46
Washington,99
West Virginia,0
Wisconsin,0
Wyoming,0
