geoName,Grok AI
Alabama,62
Alaska,0
Arizona,48
Arkansas,0
California,66
Colorado,73
Connecticut,0
Delaware,0
District of Columbia,0
Florida,47
Georgia,45
Hawaii,0
Idaho,0
Illinois,56
Indiana,65
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,43
Massachusetts,74
Michigan,54
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,73
New Hampshire,0
New Jersey,58
New Mexico,0
New York,57
North Carolina,60
North Dakota,0
Ohio,43
Oklahoma,0
Oregon,87
Pennsylvania,46
Rhode Island,0
South Carolina,47
South Dakota,0
Tennessee,50
Texas,63
Utah,100
Vermont,0
Virginia,51
Washington,91
West Virginia,0
Wisconsin,49
Wyoming,0
