geoName,Microsoft Copilot
Alabama,11
Alaska,0
Arizona,19
Arkansas,0
California,26
Colorado,24
Connecticut,18
Delaware,0
District of Columbia,0
Florida,20
Georgia,16
Hawaii,0
Idaho,0
Illinois,27
Indiana,16
Iowa,26
Kansas,15
Kentucky,17
Louisiana,11
Maine,0
Maryland,21
Massachusetts,25
Michigan,16
Minnesota,29
Mississippi,0
Missouri,20
Montana,0
Nebraska,0
Nevada,0
New Hampshire,28
New Jersey,25
New Mexico,0
New York,21
North Carolina,16
North Dakota,0
Ohio,16
Oklahoma,13
Oregon,29
Pennsylvania,14
Rhode Island,0
South Carolina,15
South Dakota,0
Tennessee,16
Texas,18
Utah,18
Vermont,0
Virginia,30
Washington,45
West Virginia,0
Wisconsin,22
Wyoming,100
