geoName,Gemini Pro
Alabama,0
Alaska,0
Arizona,48
Arkansas,100
California,100
Colorado,53
Connecticut,0
Delaware,0
District of Columbia,0
Florida,29
Georgia,54
Hawaii,0
Idaho,0
Illinois,42
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,47
Massachusetts,52
Michigan,39
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,73
New Hampshire,0
New Jersey,78
New Mexico,0
New York,44
North Carolina,0
North Dakota,0
Ohio,0
Oklahoma,0
Oregon,67
Pennsylvania,31
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,36
Utah,0
Vermont,0
Virginia,56
Washington,81
West Virginia,0
Wisconsin,0
Wyoming,0
