geoName,Perplexity AI
Alabama,20
Alaska,0
Arizona,44
Arkansas,0
California,74
Colorado,47
Connecticut,48
Delaware,0
District of Columbia,100
Florida,46
Georgia,47
Hawaii,37
Idaho,0
Illinois,51
Indiana,33
Iowa,0
Kansas,42
Kentucky,15
Louisiana,27
Maine,47
Maryland,53
Massachusetts,68
Michigan,26
Minnesota,35
Mississippi,0
Missouri,43
Montana,0
Nebraska,0
Nevada,51
New Hampshire,56
New Jersey,70
New Mexico,0
New York,66
North Carolina,43
North Dakota,0
Ohio,38
Oklahoma,25
Oregon,29
Pennsylvania,38
Rhode Island,0
South Carolina,27
South Dakota,0
Tennessee,24
Texas,48
Utah,50
Vermont,0
Virginia,61
Washington,71
West Virginia,0
Wisconsin,31
Wyoming,0
