geoName,Llama AI
Alabama,0
Alaska,0
Arizona,62
Arkansas,0
California,100
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,0
Florida,28
Georgia,58
Hawaii,0
Idaho,0
Illinois,51
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,0
Massachusetts,77
Michigan,0
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,65
New Mexico,0
New York,79
North Carolina,43
North Dakota,0
Ohio,40
Oklahoma,0
Oregon,96
Pennsylvania,33
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,47
Utah,0
Vermont,0
Virginia,0
Washington,91
West Virginia,0
Wisconsin,0
Wyoming,0
