geoName,GitHub Copilot
Alabama,26
Alaska,0
Arizona,45
Arkansas,34
California,67
Colorado,68
Connecticut,43
Delaware,0
District of Columbia,69
Florida,27
Georgia,40
Hawaii,0
Idaho,0
Illinois,48
Indiana,27
Iowa,31
Kansas,35
Kentucky,0
Louisiana,0
Maine,0
Maryland,31
Massachusetts,78
Michigan,33
Minnesota,49
Mississippi,0
Missouri,35
Montana,0
Nebraska,42
Nevada,32
New Hampshire,0
New Jersey,52
New Mexico,0
New York,49
North Carolina,41
North Dakota,0
Ohio,34
Oklahoma,28
Oregon,57
Pennsylvania,39
Rhode Island,0
South Carolina,22
South Dakota,0
Tennessee,29
Texas,51
Utah,53
Vermont,0
Virginia,77
Washington,100
West Virginia,0
Wisconsin,38
Wyoming,0
