geoName,ChatGPT
Alabama,60
Alaska,47
Arizona,74
Arkansas,64
California,100
Colorado,73
Connecticut,77
Delaware,78
District of Columbia,85
Florida,78
Georgia,83
Hawaii,62
Idaho,64
Illinois,79
Indiana,56
Iowa,58
Kansas,62
Kentucky,57
Louisiana,55
Maine,57
Maryland,75
Massachusetts,77
Michigan,66
Minnesota,69
Mississippi,57
Missouri,58
Montana,48
Nebraska,60
Nevada,70
New Hampshire,59
New Jersey,85
New Mexico,61
New York,81
North Carolina,74
North Dakota,58
Ohio,56
Oklahoma,54
Oregon,67
Pennsylvania,68
Rhode Island,68
South Carolina,59
South Dakota,48
Tennessee,57
Texas,84
Utah,74
Vermont,53
Virginia,76
Washington,77
West Virginia,39
Wisconsin,60
Wyoming,55
