geoName,Claude Opus
Alabama,0
Alaska,0
Arizona,57
Arkansas,0
California,88
Colorado,66
Connecticut,0
Delaware,0
District of Columbia,0
Florida,39
Georgia,0
Hawaii,0
Idaho,0
Illinois,39
Indiana,47
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,0
Massachusetts,52
Michigan,27
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,58
New Mexico,0
New York,58
North Carolina,35
North Dakota,0
Ohio,29
Oklahoma,0
Oregon,0
Pennsylvania,48
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,55
Texas,40
Utah,0
Vermont,0
Virginia,73
Washington,100
West Virginia,0
Wisconsin,0
Wyoming,0
