geoName,Claude Sonnet
Alabama,19
Alaska,0
Arizona,14
Arkansas,0
California,36
Colorado,20
Connecticut,19
Delaware,0
District of Columbia,0
Florida,17
Georgia,15
Hawaii,0
Idaho,0
Illinois,15
Indiana,15
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,19
Massachusetts,22
Michigan,11
Minnesota,20
Mississippi,0
Missouri,13
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,23
New Mexico,0
New York,21
North Carolina,19
North Dakota,100
Ohio,12
Oklahoma,0
Oregon,28
Pennsylvania,17
Rhode Island,0
South Carolina,17
South Dakota,0
Tennessee,11
Texas,19
Utah,0
Vermont,0
Virginia,31
Washington,55
West Virginia,0
Wisconsin,0
Wyoming,0
