geoName,Claude AI
Alabama,28
Alaska,40
Arizona,36
Arkansas,32
California,58
Colorado,44
Connecticut,40
Delaware,18
District of Columbia,100
Florida,32
Georgia,40
Hawaii,86
Idaho,30
Illinois,35
Indiana,25
Iowa,23
Kansas,27
Kentucky,25
Louisiana,28
Maine,29
Maryland,52
Massachusetts,66
Michigan,26
Minnesota,33
Mississippi,23
Missouri,32
Montana,24
Nebraska,28
Nevada,34
New Hampshire,27
New Jersey,44
New Mexico,29
New York,43
North Carolina,35
North Dakota,0
Ohio,29
Oklahoma,26
Oregon,39
Pennsylvania,28
Rhode Island,22
South Carolina,25
South Dakota,27
Tennessee,27
Texas,36
Utah,42
Vermont,36
Virginia,43
Washington,59
West Virginia,19
Wisconsin,24
Wyoming,0
