geoName,Google Gemini
Alabama,42
Alaska,52
Arizona,54
Arkansas,43
California,79
Colorado,59
Connecticut,56
Delaware,48
District of Columbia,100
Florida,48
Georgia,58
Hawaii,83
Idaho,45
Illinois,55
Indiana,46
Iowa,40
Kansas,69
Kentucky,50
Louisiana,46
Maine,39
Maryland,62
Massachusetts,76
Michigan,46
Minnesota,48
Mississippi,36
Missouri,49
Montana,38
Nebraska,42
Nevada,62
New Hampshire,51
New Jersey,62
New Mexico,47
New York,51
North Carolina,48
North Dakota,19
Ohio,44
Oklahoma,41
Oregon,66
Pennsylvania,51
Rhode Island,48
South Carolina,45
South Dakota,38
Tennessee,45
Texas,51
Utah,68
Vermont,42
Virginia,68
Washington,69
West Virginia,27
Wisconsin,38
Wyoming,33
