geoName,Claude Code
Alabama,13
Alaska,23
Arizona,25
Arkansas,9
California,80
Colorado,44
Connecticut,21
Delaware,16
District of Columbia,65
Florida,24
Georgia,32
Hawaii,17
Idaho,14
Illinois,31
Indiana,14
Iowa,11
Kansas,19
Kentucky,12
Louisiana,14
Maine,14
Maryland,42
Massachusetts,66
Michigan,20
Minnesota,25
Mississippi,6
Missouri,22
Montana,16
Nebraska,14
Nevada,24
New Hampshire,18
New Jersey,38
New Mexico,12
New York,45
North Carolina,22
North Dakota,0
Ohio,20
Oklahoma,19
Oregon,34
Pennsylvania,25
Rhode Island,13
South Carolina,11
South Dakota,0
Tennessee,19
Texas,29
Utah,64
Vermont,41
Virginia,33
Washington,100
West Virginia,0
Wisconsin,20
Wyoming,0
