geoName,DeepSeek
Alabama,23
Alaska,31
Arizona,31
Arkansas,21
California,100
Colorado,33
Connecticut,37
Delaware,21
District of Columbia,72
Florida,31
Georgia,38
Hawaii,23
Idaho,23
Illinois,41
Indiana,24
Iowa,23
Kansas,46
Kentucky,20
Louisiana,25
Maine,20
Maryland,42
Massachusetts,55
Michigan,29
Minnesota,31
Mississippi,24
Missouri,28
Montana,18
Nebraska,22
Nevada,36
New Hampshire,28
New Jersey,46
New Mexico,28
New York,48
North Carolina,27
North Dakota,25
Ohio,25
Oklahoma,30
Oregon,50
Pennsylvania,34
Rhode Island,25
South Carolina,23
South Dakota,0
Tennessee,28
Texas,31
Utah,42
Vermont,32
Virginia,39
Washington,82
West Virginia,24
Wisconsin,25
Wyoming,38
