state,year,ui_first_payments_total,ui_pct_within_21_days,ui_avg_days_to_first_payment_approx
Alabama,2020,687014,91.34049670021281,10.409081910994535
Alabama,2021,111878,88.52768193925526,11.279518761508072
Alabama,2022,48576,86.82065217391305,10.826961874176549
Alabama,2023,49255,89.31276012587554,9.843975230941021
Alabama,2024,63545,86.32465182154378,10.98040758517586
Alabama,2025,61348,87.8480146052031,10.576897372367478
Alabama,2026,36023,90.4672015101463,10.167656774838298
Alaska,2020,129400,80.8129829984544,12.167357032457495
Alaska,2021,40602,93.23432343234323,9.557201615683956
Alaska,2022,20048,96.70790103750998,8.412310454908221
Alaska,2023,18318,96.140408341522,8.577737744295229
Alaska,2024,17475,97.173104434907,8.323690987124463
Alaska,2025,17646,95.80641505156976,8.679360761645698
Alaska,2026,7585,96.21621621621622,8.5022412656559
Arizona,2020,660147,86.01872007295344,12.303361978468432
Arizona,2021,131984,87.55152139653292,10.668463601648686
Arizona,2022,78106,87.31723555168617,10.841023736972831
Arizona,2023,98459,82.30938766390071,11.955245330543677
Arizona,2024,106780,80.0711743772242,13.04064899793969
Arizona,2025,113423,86.01959038290295,11.808301667210355
Arizona,2026,69573,86.03050033777471,11.305240538714731
Arkansas,2020,379167,91.59947991254514,10.086091352886722
Arkansas,2021,61128,96.12288967412643,8.174952558565632
Arkansas,2022,48082,91.74535169086144,10.044975250613534
Arkansas,2023,48487,79.95545197681852,14.040433518262628
Arkansas,2024,49025,83.21468638449771,13.01059663437022
Arkansas,2025,48746,87.75078980839453,11.515385877815616
Arkansas,2026,22280,92.9443447037702,9.825269299820468
California,2020,9156642,82.40022925434893,13.039983762606422
California,2021,2193757,74.15597990114675,15.721961684908583
California,2022,1510981,84.67386419816,11.94981935576953
California,2023,1813851,88.41150678859509,10.673032955849186
California,2024,1784080,89.65887179947087,10.401439397336443
California,2025,1794319,90.46089352004856,10.231408406197561
California,2026,1161637,92.57280888952401,9.664296591792445
Colorado,2020,957795,90.64747675650844,11.627861389963405
Colorado,2021,334403,92.48810566890847,9.956960613391626
Colorado,2022,89686,86.10485471534018,11.412126753339429
Colorado,2023,150066,79.70626257779911,14.00351512001386
Colorado,2024,168287,78.57231990587509,13.586171243173863
Colorado,2025,189729,83.73627647855626,11.332853701858967
Colorado,2026,121593,84.62740453809019,11.236317057725362
Connecticut,2020,839819,81.24953114897376,12.50188195313514
Connecticut,2021,224989,87.72517767535302,11.626835089715497
Connecticut,2022,132826,83.25779591345068,12.706077876319394
Connecticut,2023,143500,76.29337979094076,14.241202090592335
Connecticut,2024,143471,77.79551268200542,13.696036132737627
Connecticut,2025,141906,79.29474440827026,13.222435978746494
Connecticut,2026,102518,80.46196765446068,13.0872773561716
Delaware,2020,121762,90.06750874657118,10.394507317553916
Delaware,2021,27919,90.89508936566496,10.011730362835346
Delaware,2022,16009,81.36048472734088,12.717846211506028
Delaware,2023,21054,79.82806117602355,12.5809584876983
Delaware,2024,19640,79.34317718940936,13.830626272912424
Delaware,2025,20236,79.047242538051,13.962566712789089
Delaware,2026,13791,79.66789935465158,13.538539627293162
District of Columbia,2020,158197,81.00343242918639,12.630489200174466
District of Columbia,2021,49288,84.22131147540983,12.126572390845642
District of Columbia,2022,15183,85.94480669169467,11.741717710597378
District of Columbia,2023,25648,85.39847161572052,12.724305988771054
District of Columbia,2024,22508,84.03234405544696,13.082770570463834
District of Columbia,2025,43390,88.59184143811937,11.493247292002765
District of Columbia,2026,13977,91.60764112470487,10.882771696358303
Florida,2020,3162062,72.30715273767561,16.34607291065134
Florida,2021,501671,87.71944162608563,10.646934943419094
Florida,2022,265202,89.46010965226506,10.102691533246356
Florida,2023,304179,89.87010937638694,10.188928229759451
Florida,2024,223933,87.81019322743856,11.645434125385718
Florida,2025,218553,83.64286923537998,12.944908100094715
Florida,2026,117833,89.96121629764158,10.956476538830378
Georgia,2020,2036705,81.31369049518707,12.817952771756342
Georgia,2021,327868,85.05465614210597,11.554782717435065
Georgia,2022,172225,75.92103353171723,13.23454202351575
Georgia,2023,225472,74.75429321600909,13.203069560743684
Georgia,2024,217473,75.47005835207129,12.89125316705982
Georgia,2025,215456,80.90979132630328,12.156820882221892
Georgia,2026,117108,81.9124227209072,12.016817809201763
Hawaii,2020,357272,70.10540988378602,16.62683053807743
Hawaii,2021,53361,80.9786173422537,13.195123779539363
Hawaii,2022,31563,88.87304755568228,10.807084244209992
Hawaii,2023,43387,86.33231152188444,11.888307557563325
Hawaii,2024,28338,86.8480485567083,11.96301785588256
Hawaii,2025,30511,90.74759922650847,10.695175510471634
Hawaii,2026,15736,90.21987798678191,10.934703863751906
Idaho,2020,180818,83.87107478237786,12.706749328053624
Idaho,2021,45318,88.14819718434175,10.69865174985657
Idaho,2022,41200,97.94417475728156,8.049150485436893
Idaho,2023,71606,96.88992542524369,8.3405929670698
Idaho,2024,49802,96.45797357535842,8.449158668326573
